Ticker,Nome,Categoria,Setor,Preço Atual,Dividendos 12M,DY (%),P/VP,Liquidez,Patrimônio,Atualizado Em
BOVB11,ETF Bradesco Ibovespa Fundo De Indice,FII/UNIT,N/D,R$ 177.89,R$ 0.00,0.0%,0.0,36.70K,R$ 0.00,2026-05-29 23:14:30
BOVV11,It Now Ibovespa Fundo de Indice,FII/UNIT,N/D,R$ 179.00,R$ 0.00,0.0%,0.0,594.94K,R$ 0.00,2026-05-29 23:14:31
DIVO11,It Now IDIV Index Fund,FII/UNIT,N/D,R$ 123.84,R$ 0.00,0.0%,0.0,128.89K,R$ 0.00,2026-05-29 23:14:32
ECOO11,iShares Índice Carbono Eficiente (ICO2) Brasil - Fundo de Índice,FII/UNIT,N/D,R$ 142.30,R$ 0.00,0.0%,0.0,208.00,R$ 0.00,2026-05-29 23:14:32
FIND11,It Now IFNC Index Fund,FII/UNIT,N/D,R$ 172.80,R$ 0.00,0.0%,0.0,35.12K,R$ 0.00,2026-05-29 23:14:33
GOLD11,Trend Etf Lbma Ouro Fundo Investimento Cotas De Fundo De Andice Investimento Exterior,FII/UNIT,N/D,R$ 23.78,R$ 0.00,0.0%,0.0,1.71M,R$ 0.00,2026-05-29 23:14:33
HASH11,Hashdex Nasdaq Crypto Index Fundo De Indice,FII/UNIT,N/D,R$ 48.11,R$ 0.00,0.0%,0.0,376.04K,R$ 0.00,2026-05-29 23:14:34
IMAB11,It Now Id ETF Ima-B Fundo De Indice,FII/UNIT,N/D,R$ 113.89,R$ 0.00,0.0%,0.0,118.07K,R$ 0.00,2026-05-29 23:14:34
IVVB11,iShares S&P 500 Fundo de Investimento - Investimento No Exterior,FII/UNIT,N/D,R$ 430.40,R$ 0.00,0.0%,0.0,153.91K,R$ 0.00,2026-05-29 23:14:35
LFTS11,Investo Teva Tesouro Selic Etf - Fundo De Investimento De Indice,FII/UNIT,N/D,R$ 153.74,R$ 0.00,0.0%,0.0,250.81K,R$ 0.00,2026-05-29 23:14:35
MATB11,It Now IMAT Index Fund,FII/UNIT,N/D,R$ 62.54,R$ 0.00,0.0%,0.0,26.86K,R$ 0.00,2026-05-29 23:14:36
NASD11,Trend Etf Nasdaq 100 Fundo De Investimento De Indice - Investimento No Exterior,FII/UNIT,N/D,R$ 21.30,R$ 0.00,0.0%,0.0,824.40K,R$ 0.00,2026-05-29 23:14:36
PIBB11,It Now PIBB IBrX-50 Index Fund,FII/UNIT,N/D,R$ 311.01,R$ 0.00,0.0%,0.0,9.63K,R$ 0.00,2026-05-29 23:14:37
SMAL11,iShares BM&FBovespa Small Cap Fundo de Índice,FII/UNIT,N/D,R$ 110.99,R$ 0.00,0.0%,0.0,2.72M,R$ 0.00,2026-05-29 23:14:38
SPXI11,It Now S&P500 TRN Fundo de Índice,FII/UNIT,N/D,R$ 52.21,R$ 0.00,0.0%,0.0,127.95K,R$ 0.00,2026-05-29 23:14:38
TECK11,It Now Nyse Fang+ Fundo De Indice,FII/UNIT,N/D,R$ 119.76,R$ 0.00,0.0%,0.0,121.40K,R$ 0.00,2026-05-29 23:14:39
XFIX11,TREND ETF IFIX-L CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA,FII/UNIT,N/D,R$ 13.68,R$ 0.00,0.0%,0.0,29.30K,R$ 0.00,2026-05-29 23:14:39
